clean_date,total_articles,positive,neutral,negative,average_score,average_confidence,positive_ratio,neutral_ratio,negative_ratio,sentiment_index
2016-09-08,1,0,1,0,0.0,0.9357889890670776,0.0,1.0,0.0,0.0
2017-01-29,1,0,1,0,0.0,0.9146474599838256,0.0,1.0,0.0,0.0
2017-01-31,2,1,1,0,0.5,0.9371283948421478,0.5,0.5,0.0,0.5
2017-02-01,1,0,1,0,0.0,0.8588475584983826,0.0,1.0,0.0,0.0
2017-02-05,1,0,0,1,-1.0,0.9560269713401794,0.0,0.0,1.0,-1.0
2017-02-06,2,0,1,1,-0.5,0.9530771672725677,0.0,0.5,0.5,-0.5
2017-02-07,2,0,0,2,-1.0,0.8048713803291321,0.0,0.0,1.0,-1.0
2017-02-08,2,1,1,0,0.5,0.8237820267677307,0.5,0.5,0.0,0.5
2017-02-09,1,0,0,1,-1.0,0.9655781388282776,0.0,0.0,1.0,-1.0
2017-02-12,1,0,0,1,-1.0,0.9540761709213256,0.0,0.0,1.0,-1.0
2017-02-13,1,1,0,0,1.0,0.9294135570526124,1.0,0.0,0.0,1.0
2017-02-14,3,0,2,1,-0.3333333333333333,0.9407389362653097,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333
2017-02-15,2,1,0,1,0.0,0.9184579849243164,0.5,0.0,0.5,0.0
2017-02-16,1,1,0,0,1.0,0.9349064230918884,1.0,0.0,0.0,1.0
2017-02-19,1,1,0,0,1.0,0.7963358163833618,1.0,0.0,0.0,1.0
2017-02-20,1,0,0,1,-1.0,0.7756965756416321,0.0,0.0,1.0,-1.0
2017-02-21,1,0,0,1,-1.0,0.9717639088630676,0.0,0.0,1.0,-1.0
2017-02-22,1,0,0,1,-1.0,0.9676555395126344,0.0,0.0,1.0,-1.0
2017-02-23,1,0,1,0,0.0,0.953177571296692,0.0,1.0,0.0,0.0
2017-02-26,1,0,0,1,-1.0,0.9662237763404846,0.0,0.0,1.0,-1.0
2017-02-27,1,0,1,0,0.0,0.925031840801239,0.0,1.0,0.0,0.0
2017-02-28,1,0,0,1,-1.0,0.9515803456306458,0.0,0.0,1.0,-1.0
2017-03-02,2,1,1,0,0.5,0.8703006505966187,0.5,0.5,0.0,0.5
2017-03-03,1,0,1,0,0.0,0.4982099533081054,0.0,1.0,0.0,0.0
2017-03-05,1,1,0,0,1.0,0.9128939509391784,1.0,0.0,0.0,1.0
2017-03-06,4,1,3,0,0.25,0.9223923087120056,0.25,0.75,0.0,0.25
2017-03-07,1,0,1,0,0.0,0.8997429013252258,0.0,1.0,0.0,0.0
2017-03-08,1,0,1,0,0.0,0.9229822158813475,0.0,1.0,0.0,0.0
2017-03-09,1,1,0,0,1.0,0.9357345104217528,1.0,0.0,0.0,1.0
2017-03-13,1,1,0,0,1.0,0.9434261918067932,1.0,0.0,0.0,1.0
2017-03-15,1,1,0,0,1.0,0.9289399981498718,1.0,0.0,0.0,1.0
2017-03-19,1,0,1,0,0.0,0.9540071487426758,0.0,1.0,0.0,0.0
2017-03-20,1,1,0,0,1.0,0.822990357875824,1.0,0.0,0.0,1.0
2017-03-21,2,1,1,0,0.5,0.853836178779602,0.5,0.5,0.0,0.5
2017-03-22,2,2,0,0,1.0,0.8963488042354584,1.0,0.0,0.0,1.0
2017-03-23,1,1,0,0,1.0,0.9411997199058532,1.0,0.0,0.0,1.0
2017-03-24,1,0,0,1,-1.0,0.9254481196403505,0.0,0.0,1.0,-1.0
2017-03-26,1,1,0,0,1.0,0.9075827598571776,1.0,0.0,0.0,1.0
2017-03-27,1,0,1,0,0.0,0.8853600025177002,0.0,1.0,0.0,0.0
2017-03-28,7,3,3,1,0.2857142857142857,0.8370354516165597,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.2857142857142857
2017-03-29,1,0,0,1,-1.0,0.927085280418396,0.0,0.0,1.0,-1.0
2017-03-30,1,0,0,1,-1.0,0.9664162397384644,0.0,0.0,1.0,-1.0
2017-04-02,1,1,0,0,1.0,0.7253709435462952,1.0,0.0,0.0,1.0
2017-04-03,4,0,3,1,-0.25,0.9026277959346771,0.0,0.75,0.25,-0.25
2017-04-04,1,0,0,1,-1.0,0.9706121683120728,0.0,0.0,1.0,-1.0
2017-04-05,1,0,1,0,0.0,0.9344563484191896,0.0,1.0,0.0,0.0
2017-04-06,1,0,0,1,-1.0,0.9573553800582886,0.0,0.0,1.0,-1.0
2017-04-09,1,0,0,1,-1.0,0.7408076524734497,0.0,0.0,1.0,-1.0
2017-04-10,1,1,0,0,1.0,0.9435856938362122,1.0,0.0,0.0,1.0
2017-04-12,2,0,1,1,-0.5,0.7479685246944427,0.0,0.5,0.5,-0.5
2017-04-13,1,1,0,0,1.0,0.4908128976821899,1.0,0.0,0.0,1.0
2017-04-18,1,0,0,1,-1.0,0.973425030708313,0.0,0.0,1.0,-1.0
2017-04-19,2,1,0,1,0.0,0.9341727793216705,0.5,0.0,0.5,0.0
2017-04-20,2,0,1,1,-0.5,0.8906656801700592,0.0,0.5,0.5,-0.5
2017-04-24,1,0,0,1,-1.0,0.9692265391349792,0.0,0.0,1.0,-1.0
2017-04-25,1,0,0,1,-1.0,0.9705482721328736,0.0,0.0,1.0,-1.0
2017-04-26,1,1,0,0,1.0,0.6016293168067932,1.0,0.0,0.0,1.0
2017-04-27,1,0,0,1,-1.0,0.9693996906280518,0.0,0.0,1.0,-1.0
2017-04-30,2,0,0,2,-1.0,0.9318899214267731,0.0,0.0,1.0,-1.0
2017-05-02,1,1,0,0,1.0,0.9205919504165648,1.0,0.0,0.0,1.0
2017-05-03,2,1,1,0,0.5,0.9452635049819946,0.5,0.5,0.0,0.5
2017-05-04,1,0,0,1,-1.0,0.9712364673614502,0.0,0.0,1.0,-1.0
2017-05-07,1,0,0,1,-1.0,0.9738047122955322,0.0,0.0,1.0,-1.0
2017-05-09,1,1,0,0,1.0,0.9233565330505372,1.0,0.0,0.0,1.0
2017-05-11,1,1,0,0,1.0,0.9303097724914552,1.0,0.0,0.0,1.0
2017-05-15,2,1,1,0,0.5,0.6789872646331787,0.5,0.5,0.0,0.5
2017-05-16,2,0,1,1,-0.5,0.9536486268043518,0.0,0.5,0.5,-0.5
2017-05-17,1,0,0,1,-1.0,0.970690906047821,0.0,0.0,1.0,-1.0
2017-05-18,1,0,0,1,-1.0,0.6518579721450806,0.0,0.0,1.0,-1.0
2017-05-21,2,0,1,1,-0.5,0.9645086526870728,0.0,0.5,0.5,-0.5
2017-05-22,1,0,0,1,-1.0,0.9728427529335022,0.0,0.0,1.0,-1.0
2017-05-23,1,1,0,0,1.0,0.9513198137283324,1.0,0.0,0.0,1.0
2017-05-24,1,1,0,0,1.0,0.9318343997001648,1.0,0.0,0.0,1.0
2017-05-30,2,0,1,1,-0.5,0.9577884674072266,0.0,0.5,0.5,-0.5
2017-05-31,1,1,0,0,1.0,0.5926830768585205,1.0,0.0,0.0,1.0
2017-06-01,2,0,1,1,-0.5,0.9556766450405121,0.0,0.5,0.5,-0.5
2017-06-04,1,0,0,1,-1.0,0.9670866131782532,0.0,0.0,1.0,-1.0
2017-06-05,1,1,0,0,1.0,0.9353302121162416,1.0,0.0,0.0,1.0
2017-06-06,3,1,2,0,0.3333333333333333,0.9127980271975199,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
2017-06-07,1,0,0,1,-1.0,0.9678071737289428,0.0,0.0,1.0,-1.0
2017-06-08,1,0,0,1,-1.0,0.9718329906463624,0.0,0.0,1.0,-1.0
2017-06-09,1,0,1,0,0.0,0.9331861138343812,0.0,1.0,0.0,0.0
2017-06-11,1,0,0,1,-1.0,0.7714973092079163,0.0,0.0,1.0,-1.0
2017-06-12,1,0,0,1,-1.0,0.9710665345191956,0.0,0.0,1.0,-1.0
2017-06-13,3,0,2,1,-0.3333333333333333,0.901794453461965,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333
2017-06-14,2,0,1,1,-0.5,0.9556808173656464,0.0,0.5,0.5,-0.5
2017-06-15,2,1,1,0,0.5,0.8858597874641418,0.5,0.5,0.0,0.5
2017-06-18,1,0,0,1,-1.0,0.964408040046692,0.0,0.0,1.0,-1.0
2017-06-19,3,0,1,2,-0.6666666666666666,0.9188650647799174,0.0,0.3333333333333333,0.6666666666666666,-0.6666666666666666
2017-06-20,1,0,0,1,-1.0,0.9641808867454528,0.0,0.0,1.0,-1.0
2017-06-22,1,1,0,0,1.0,0.9352135062217712,1.0,0.0,0.0,1.0
2017-06-25,1,1,0,0,1.0,0.946776568889618,1.0,0.0,0.0,1.0
2017-06-27,1,0,0,1,-1.0,0.968546450138092,0.0,0.0,1.0,-1.0
2017-06-28,1,0,0,1,-1.0,0.971944272518158,0.0,0.0,1.0,-1.0
2017-06-29,1,0,1,0,0.0,0.9118582606315612,0.0,1.0,0.0,0.0
2017-07-02,2,0,1,1,-0.5,0.9048566222190857,0.0,0.5,0.5,-0.5
2017-07-03,1,1,0,0,1.0,0.9031124711036682,1.0,0.0,0.0,1.0
2017-07-04,1,0,0,1,-1.0,0.9611232876777648,0.0,0.0,1.0,-1.0
2017-07-06,1,1,0,0,1.0,0.9378803372383118,1.0,0.0,0.0,1.0
2017-07-09,2,2,0,0,1.0,0.8482090532779694,1.0,0.0,0.0,1.0
2017-07-10,1,0,0,1,-1.0,0.9678234457969666,0.0,0.0,1.0,-1.0
2017-07-11,1,1,0,0,1.0,0.9322040677070618,1.0,0.0,0.0,1.0
2017-07-12,1,1,0,0,1.0,0.9336528182029724,1.0,0.0,0.0,1.0
2017-07-13,1,0,0,1,-1.0,0.972650110721588,0.0,0.0,1.0,-1.0
2017-07-17,1,1,0,0,1.0,0.9332093596458436,1.0,0.0,0.0,1.0
2017-07-18,1,1,0,0,1.0,0.9288178086280824,1.0,0.0,0.0,1.0
2017-07-19,1,0,0,1,-1.0,0.9704795479774476,0.0,0.0,1.0,-1.0
2017-07-20,1,0,0,1,-1.0,0.968163251876831,0.0,0.0,1.0,-1.0
2017-07-23,2,0,1,1,-0.5,0.957938253879547,0.0,0.5,0.5,-0.5
2017-07-24,2,0,1,1,-0.5,0.9037290513515472,0.0,0.5,0.5,-0.5
2017-07-25,1,1,0,0,1.0,0.9093096852302552,1.0,0.0,0.0,1.0
2017-07-26,1,1,0,0,1.0,0.939656138420105,1.0,0.0,0.0,1.0
2017-07-27,3,0,1,2,-0.6666666666666666,0.9364762703577677,0.0,0.3333333333333333,0.6666666666666666,-0.6666666666666666
2017-07-31,1,1,0,0,1.0,0.938040554523468,1.0,0.0,0.0,1.0
2017-08-01,2,1,1,0,0.5,0.90367391705513,0.5,0.5,0.0,0.5
2017-08-02,3,1,2,0,0.3333333333333333,0.9279692769050598,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
2017-08-03,1,0,0,1,-1.0,0.9707819223403932,0.0,0.0,1.0,-1.0
2017-08-04,1,1,0,0,1.0,0.9283460378646852,1.0,0.0,0.0,1.0
2017-08-06,1,1,0,0,1.0,0.8741658329963684,1.0,0.0,0.0,1.0
2017-08-07,1,1,0,0,1.0,0.9404049515724182,1.0,0.0,0.0,1.0
2017-08-08,1,0,1,0,0.0,0.5741003155708313,0.0,1.0,0.0,0.0
2017-08-09,1,0,0,1,-1.0,0.969647228717804,0.0,0.0,1.0,-1.0
2017-08-10,1,0,0,1,-1.0,0.9683200716972352,0.0,0.0,1.0,-1.0
2017-08-13,2,0,1,1,-0.5,0.9565466940402985,0.0,0.5,0.5,-0.5
2017-08-14,1,0,0,1,-1.0,0.9234359860420228,0.0,0.0,1.0,-1.0
2017-08-15,1,0,0,1,-1.0,0.9605457186698914,0.0,0.0,1.0,-1.0
2017-08-16,2,0,1,1,-0.5,0.9511618614196777,0.0,0.5,0.5,-0.5
2017-08-17,1,0,0,1,-1.0,0.9710524082183838,0.0,0.0,1.0,-1.0
2017-08-18,3,0,2,1,-0.3333333333333333,0.9405512611071268,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333
2017-08-20,3,0,2,1,-0.3333333333333333,0.9192502101262411,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333
2017-08-21,4,1,1,2,-0.25,0.9500482082366943,0.25,0.25,0.5,-0.25
2017-08-22,1,1,0,0,1.0,0.9419060945510864,1.0,0.0,0.0,1.0
2017-08-23,1,0,1,0,0.0,0.8539092540740967,0.0,1.0,0.0,0.0
2017-08-25,2,0,2,0,0.0,0.9343183040618896,0.0,1.0,0.0,0.0
2017-08-27,2,2,0,0,1.0,0.7298067808151245,1.0,0.0,0.0,1.0
2017-08-28,2,0,2,0,0.0,0.8181766867637634,0.0,1.0,0.0,0.0
2017-08-29,1,0,1,0,0.0,0.8233634233474731,0.0,1.0,0.0,0.0
2017-08-30,6,0,5,1,-0.16666666666666666,0.9234197040398916,0.0,0.8333333333333334,0.16666666666666666,-0.16666666666666666
2017-08-31,3,1,1,1,0.0,0.6842358708381653,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2017-09-03,1,0,1,0,0.0,0.7947348356246948,0.0,1.0,0.0,0.0
2017-09-04,2,0,1,1,-0.5,0.9595541954040527,0.0,0.5,0.5,-0.5
2017-09-06,1,1,0,0,1.0,0.9412522912025452,1.0,0.0,0.0,1.0
2017-09-08,1,1,0,0,1.0,0.9395950436592102,1.0,0.0,0.0,1.0
2017-09-10,1,0,0,1,-1.0,0.970931589603424,0.0,0.0,1.0,-1.0
2017-09-11,3,2,1,0,0.6666666666666666,0.9443085789680481,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666
2017-09-12,2,0,1,1,-0.5,0.9432331025600433,0.0,0.5,0.5,-0.5
2017-09-13,4,2,2,0,0.5,0.9310559779405594,0.5,0.5,0.0,0.5
2017-09-14,2,1,1,0,0.5,0.926363468170166,0.5,0.5,0.0,0.5
2017-09-15,1,0,0,1,-1.0,0.9678847789764404,0.0,0.0,1.0,-1.0
2017-09-18,1,0,0,1,-1.0,0.97128164768219,0.0,0.0,1.0,-1.0
2017-09-19,1,0,1,0,0.0,0.9257003664970398,0.0,1.0,0.0,0.0
2017-09-22,3,1,2,0,0.3333333333333333,0.8844647407531738,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
2017-10-08,2,1,0,1,0.0,0.8398167192935944,0.5,0.0,0.5,0.0
2017-10-09,1,0,1,0,0.0,0.9388364553451538,0.0,1.0,0.0,0.0
2017-10-10,1,0,0,1,-1.0,0.9507126212120056,0.0,0.0,1.0,-1.0
2017-10-11,1,1,0,0,1.0,0.9475464820861816,1.0,0.0,0.0,1.0
2017-10-12,3,1,1,1,0.0,0.8353297909100851,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2017-10-13,2,0,2,0,0.0,0.7839169502258301,0.0,1.0,0.0,0.0
2017-10-16,2,1,1,0,0.5,0.9294498860836029,0.5,0.5,0.0,0.5
2017-10-18,2,1,0,1,0.0,0.9073234796524048,0.5,0.0,0.5,0.0
2017-10-22,4,3,0,1,0.5,0.8700924962759018,0.75,0.0,0.25,0.5
2017-10-23,2,1,0,1,0.0,0.940433919429779,0.5,0.0,0.5,0.0
2017-10-24,3,0,2,1,-0.3333333333333333,0.8212956190109253,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333
2017-10-26,1,0,1,0,0.0,0.8815529346466064,0.0,1.0,0.0,0.0
2017-10-27,2,0,1,1,-0.5,0.911028653383255,0.0,0.5,0.5,-0.5
2017-10-29,1,0,0,1,-1.0,0.968930959701538,0.0,0.0,1.0,-1.0
2017-10-30,1,0,0,1,-1.0,0.9722842574119568,0.0,0.0,1.0,-1.0
2017-10-31,4,2,1,1,0.25,0.9460037499666214,0.5,0.25,0.25,0.25
2017-11-01,1,0,0,1,-1.0,0.9742448925971984,0.0,0.0,1.0,-1.0
2017-11-02,2,0,1,1,-0.5,0.9583419561386108,0.0,0.5,0.5,-0.5
2017-11-05,3,0,2,1,-0.3333333333333333,0.9464152654012045,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333
2017-11-06,2,0,1,1,-0.5,0.947248786687851,0.0,0.5,0.5,-0.5
2017-11-07,2,0,1,1,-0.5,0.8987828493118286,0.0,0.5,0.5,-0.5
2017-11-08,3,0,2,1,-0.3333333333333333,0.7226395209630331,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333
2017-11-12,2,1,1,0,0.5,0.9198618531227112,0.5,0.5,0.0,0.5
2017-11-13,3,3,0,0,1.0,0.8459866245587667,1.0,0.0,0.0,1.0
2017-11-14,1,1,0,0,1.0,0.9447362422943116,1.0,0.0,0.0,1.0
2017-11-16,1,0,0,1,-1.0,0.9676308035850524,0.0,0.0,1.0,-1.0
2017-11-17,1,1,0,0,1.0,0.9105482697486876,1.0,0.0,0.0,1.0
2017-11-19,1,0,0,1,-1.0,0.9728218913078308,0.0,0.0,1.0,-1.0
2017-11-20,1,0,0,1,-1.0,0.972602128982544,0.0,0.0,1.0,-1.0
2017-11-22,2,0,1,1,-0.5,0.9165655672550201,0.0,0.5,0.5,-0.5
2017-11-23,2,1,0,1,0.0,0.9214370250701904,0.5,0.0,0.5,0.0
2017-11-24,2,0,2,0,0.0,0.9401184022426604,0.0,1.0,0.0,0.0
2017-11-26,2,2,0,0,1.0,0.8460482954978943,1.0,0.0,0.0,1.0
2017-11-27,1,0,0,1,-1.0,0.9116454720497132,0.0,0.0,1.0,-1.0
2017-11-28,3,2,0,1,0.3333333333333333,0.930939237276713,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
2017-11-29,2,2,0,0,1.0,0.936225175857544,1.0,0.0,0.0,1.0
2017-11-30,1,0,0,1,-1.0,0.5767766833305359,0.0,0.0,1.0,-1.0
2017-12-01,2,0,2,0,0.0,0.9257860481739044,0.0,1.0,0.0,0.0
2017-12-03,2,0,2,0,0.0,0.8704053461551666,0.0,1.0,0.0,0.0
2017-12-04,3,0,2,1,-0.3333333333333333,0.9478382666905721,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333
2017-12-05,1,0,0,1,-1.0,0.971259593963623,0.0,0.0,1.0,-1.0
2017-12-06,2,1,1,0,0.5,0.7476091384887695,0.5,0.5,0.0,0.5
2017-12-10,1,0,0,1,-1.0,0.9575402736663818,0.0,0.0,1.0,-1.0
2017-12-11,1,0,0,1,-1.0,0.8798394799232483,0.0,0.0,1.0,-1.0
2017-12-12,1,0,0,1,-1.0,0.9680304527282716,0.0,0.0,1.0,-1.0
2017-12-14,3,0,1,2,-0.6666666666666666,0.9386712710062662,0.0,0.3333333333333333,0.6666666666666666,-0.6666666666666666
2017-12-15,1,0,1,0,0.0,0.9097722768783568,0.0,1.0,0.0,0.0
2017-12-17,1,0,0,1,-1.0,0.9706476926803588,0.0,0.0,1.0,-1.0
2017-12-18,1,0,0,1,-1.0,0.9471040964126588,0.0,0.0,1.0,-1.0
2017-12-19,1,0,0,1,-1.0,0.9703777432441713,0.0,0.0,1.0,-1.0
2017-12-20,1,0,0,1,-1.0,0.9628761410713196,0.0,0.0,1.0,-1.0
2017-12-21,1,0,0,1,-1.0,0.9704289436340332,0.0,0.0,1.0,-1.0
2017-12-24,1,0,1,0,0.0,0.7888994812965393,0.0,1.0,0.0,0.0
2017-12-25,1,0,1,0,0.0,0.8721168637275696,0.0,1.0,0.0,0.0
2017-12-26,1,0,0,1,-1.0,0.9731130599975586,0.0,0.0,1.0,-1.0
2017-12-27,1,0,0,1,-1.0,0.9529065489768982,0.0,0.0,1.0,-1.0
2017-12-28,1,0,0,1,-1.0,0.9732049107551576,0.0,0.0,1.0,-1.0
2017-12-31,1,0,0,1,-1.0,0.9680864810943604,0.0,0.0,1.0,-1.0
2018-01-01,2,1,1,0,0.5,0.8565116226673126,0.5,0.5,0.0,0.5
2018-01-02,1,1,0,0,1.0,0.941946029663086,1.0,0.0,0.0,1.0
2018-01-03,1,0,0,1,-1.0,0.9522746205329896,0.0,0.0,1.0,-1.0
2018-01-04,1,1,0,0,1.0,0.9461864233016968,1.0,0.0,0.0,1.0
2018-01-07,2,1,1,0,0.5,0.8699315786361694,0.5,0.5,0.0,0.5
2018-01-08,3,1,2,0,0.3333333333333333,0.8713421821594238,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
2018-01-09,1,1,0,0,1.0,0.9501630663871764,1.0,0.0,0.0,1.0
2018-01-10,3,0,0,3,-1.0,0.8323139150937399,0.0,0.0,1.0,-1.0
2018-01-14,1,0,0,1,-1.0,0.4306707680225372,0.0,0.0,1.0,-1.0
2018-01-16,1,0,0,1,-1.0,0.8469359874725342,0.0,0.0,1.0,-1.0
2018-01-18,2,0,2,0,0.0,0.9348057806491852,0.0,1.0,0.0,0.0
2018-01-21,1,0,0,1,-1.0,0.9594525694847108,0.0,0.0,1.0,-1.0
2018-01-23,1,0,0,1,-1.0,0.8707533478736877,0.0,0.0,1.0,-1.0
2018-01-25,2,0,1,1,-0.5,0.6811591237783432,0.0,0.5,0.5,-0.5
2018-01-26,1,0,0,1,-1.0,0.9238170385360718,0.0,0.0,1.0,-1.0
2018-01-30,1,0,1,0,0.0,0.9333885908126832,0.0,1.0,0.0,0.0
2018-02-01,1,1,0,0,1.0,0.8970443606376648,1.0,0.0,0.0,1.0
2018-02-02,1,1,0,0,1.0,0.9284456968307496,1.0,0.0,0.0,1.0
2018-02-07,1,0,0,1,-1.0,0.9599654078483582,0.0,0.0,1.0,-1.0
2018-02-08,1,1,0,0,1.0,0.9063043594360352,1.0,0.0,0.0,1.0
2018-02-09,1,0,0,1,-1.0,0.9502195715904236,0.0,0.0,1.0,-1.0
2018-02-11,2,0,0,2,-1.0,0.9332158863544464,0.0,0.0,1.0,-1.0
2018-02-12,1,0,0,1,-1.0,0.957002341747284,0.0,0.0,1.0,-1.0
2018-02-15,4,1,3,0,0.25,0.9319784194231033,0.25,0.75,0.0,0.25
2018-02-17,1,1,0,0,1.0,0.91114604473114,1.0,0.0,0.0,1.0
2018-02-18,1,0,0,1,-1.0,0.9270231127738952,0.0,0.0,1.0,-1.0
2018-02-26,2,0,1,1,-0.5,0.8186176419258118,0.0,0.5,0.5,-0.5
2018-02-27,1,0,0,1,-1.0,0.7514175772666931,0.0,0.0,1.0,-1.0
2018-03-02,2,0,1,1,-0.5,0.7364868819713593,0.0,0.5,0.5,-0.5
2018-03-06,2,0,2,0,0.0,0.8747420907020569,0.0,1.0,0.0,0.0
2018-03-07,1,1,0,0,1.0,0.7115002274513245,1.0,0.0,0.0,1.0
2018-03-12,2,0,2,0,0.0,0.9262541830539703,0.0,1.0,0.0,0.0
2018-03-14,3,0,2,1,-0.3333333333333333,0.830139676729838,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333
2018-03-15,2,1,1,0,0.5,0.5057798475027084,0.5,0.5,0.0,0.5
2018-03-16,2,0,0,2,-1.0,0.5634373724460602,0.0,0.0,1.0,-1.0
2018-03-18,1,0,0,1,-1.0,0.957787036895752,0.0,0.0,1.0,-1.0
2018-03-19,3,0,0,3,-1.0,0.9462610085805258,0.0,0.0,1.0,-1.0
2018-03-20,2,1,0,1,0.0,0.9419665932655334,0.5,0.0,0.5,0.0
2018-03-21,2,0,1,1,-0.5,0.9495335817337036,0.0,0.5,0.5,-0.5
2018-03-22,1,0,1,0,0.0,0.4538136422634125,0.0,1.0,0.0,0.0
2018-03-23,3,1,2,0,0.3333333333333333,0.796880304813385,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
2018-03-25,1,0,1,0,0.0,0.9142491221427916,0.0,1.0,0.0,0.0
2018-03-26,3,0,1,2,-0.6666666666666666,0.9346775412559509,0.0,0.3333333333333333,0.6666666666666666,-0.6666666666666666
2018-03-27,3,1,2,0,0.3333333333333333,0.9201375047365824,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
2018-03-28,2,0,1,1,-0.5,0.7859280407428741,0.0,0.5,0.5,-0.5
2018-03-29,2,1,1,0,0.5,0.9429800510406494,0.5,0.5,0.0,0.5
2018-04-01,1,0,0,1,-1.0,0.9667252898216248,0.0,0.0,1.0,-1.0
2018-04-02,1,0,0,1,-1.0,0.9672279953956604,0.0,0.0,1.0,-1.0
2018-04-04,1,1,0,0,1.0,0.930188238620758,1.0,0.0,0.0,1.0
2018-04-05,4,2,2,0,0.5,0.924173891544342,0.5,0.5,0.0,0.5
2018-04-09,2,0,1,1,-0.5,0.9197631478309631,0.0,0.5,0.5,-0.5
2018-04-10,1,0,0,1,-1.0,0.9647812247276306,0.0,0.0,1.0,-1.0
2018-04-11,1,1,0,0,1.0,0.7031577229499817,1.0,0.0,0.0,1.0
2018-04-12,1,0,0,1,-1.0,0.9200320839881896,0.0,0.0,1.0,-1.0
2018-04-15,1,0,0,1,-1.0,0.775297224521637,0.0,0.0,1.0,-1.0
2018-04-16,2,1,1,0,0.5,0.8552832007408142,0.5,0.5,0.0,0.5
2018-04-17,2,1,1,0,0.5,0.8355703353881836,0.5,0.5,0.0,0.5
2018-04-18,1,0,0,1,-1.0,0.7469313144683838,0.0,0.0,1.0,-1.0
2018-04-19,2,1,1,0,0.5,0.8859350383281708,0.5,0.5,0.0,0.5
2018-04-20,1,0,1,0,0.0,0.883857250213623,0.0,1.0,0.0,0.0
